Opinion,Brand,Body
irr,msf,"IT-Concern enige #Microsoft dienstverlener in Gorinchem met 1 Gold & 3 Silver statussen #pinpoint http://t.co/ugzVJmmr. Dat zegt genoeg!
"
neg,apl,"Comparing @Office #live with @google #apps and @apple #iCloud , I do not see #iCloud leading the crowd. Do you agree ?
"
irr,ggl,"@iley_little we'lll figure it out tm in gym #google
"
neg,apl,"@apple WTF why can we not add the newsstand to a folder?! We are already in your walled garden, so please don't remind us of it.
"
neu,msf,"Steve Ballmer slams Android #microsoft #steveballmer http://t.co/wfSSexks
"
irr,twt,"tenho que ir dormir mais o #twitter naum deixa :S
"
neu,apl,"@rjakesuk mine is past the warranty and I don't have AppleCare. #ios5 @apple
"
pos,apl,"@apple by far the best iPod and first time iPhone ever.... Good job guys
"
neg,ggl,"Android Crashing: 1, Google 'Quick Response' Feature: 0 #Google #ICS #Android #QuickResponse
"
neu,msf,"Tomorrow at #SAPTechEd Bangalore: #SAP & #Microsoft Building Apps for Both Worlds w #DuetEnterprise & #SAPGateway. http://t.co/te4NQmxN
"
irr,ggl,"@Vusala_Abidin xeyirli ugurlu olsun.amma deyen ciddi yenilik yoxdu. #google #nexus #android
"
irr,ggl,"Android Beam: Compartilhamentovia NFC #icecreamsandwich #galaxynexus #google #samsung
"
neu,ggl,"Android 4.0 Ice Cream Sandwich announcement round-up #android #google http://t.co/8DjJHFGu
"
irr,msf,"http://t.co/Qewndku6 #Nokia workers ask,is CEO Stephen Elop a #Microsoft mole??
"
irr,ggl,"Surfactants pdf ebook: http://t.co/JlzvsR9f #google
"
neu,ggl,"Ice Cream Sandwich arrives http://t.co/Z4j7WhmS #google #icecream #android #samsung
"
irr,msf,"Conector de redes sociales de #Microsoft #Outlook http://t.co/BPgPq45t
"
neu,twt,"Goodnight everyone #twitter off
"
irr,twt,"tengo q ir a dormir pero no qiero xD #Twitter =D
"
neu,twt,"#Twitter #Off'
"
neg,apl,"So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple
"
neu,msf,"#Microsoft We support you. Retweet if u support us or want to.
"
irr,ggl,"AsiaClassifiedToday: SE Asia and Singapore lead Asia Pacific region in business travel - Forimmedi... http://t.co/Jdvas9rH #asia #google
"
pos,msf,"Awesome! #Microsoft #holodeck bit.ly/qpGxle
"
neu,msf,"Microsoft CEO says company got """"lucky"""" when Yahoo deal fell apart #microsoft #steveballmer http://t.co/qGxn8d2l
"
neu,ggl,"http://t.co/e5ClGzsI #google
"
irr,apl,"@Apple podría lanzar un #iPad Mini en el 2012, según los últimos rumores. http://t.co/3mkPJTFX
"
irr,twt,"Buenas noches genteeee :) #twitter los quierooo ...
"
neu,twt,"#Twitter after dark! #GoodNight!! an yall thought a was abt to get #Nasty!!lol
"
neu,msf,"#microsoft
"
neu,ggl,"Google encrypting search for signed-in users http://t.co/R2xDFqRs #encryption #google #search #secure
"
neu,apl,"Iphone update is great but seriously @apple let me delete stuff I dont want like gamecenter. Steve wont mind...
"
irr,twt,"#Twitter, definitivamente... me distraes de mis labores importantes! xD
"
irr,twt,"Twitter reconoce el éxito de los tweets patrocinados y prepara nuevos formatos publicitarios http://t.co/CkQiNbQb #twitter
"
neg,twt,"RT @mixedchik22: #Twitter.... Side Affects include: Procrastination, No Sleep, Unable to Focus on ANYTHING, Subtweeting, RT, TT, and Low ...
"
neu,twt,"RT @Str8Talk123: Need to step my #twitter game! Where is #teamfollowback #miami #ff @JAYSCANDRETH @WhatupHOE1211
"
neu,msf,"Ballmer On Not Buying Yahoo: http://t.co/ogoaKRBf #Microsoft #Yahoo #Skype #Xbox #Google #Bing #Ballmer http://t.co/LwUYs0uP
"
pos,twt,"Dear #twitter I have missed you. Promise i'll keep in touch more often
"
neu,twt,"#twitter off
"
neu,apl,"Go big or go home @Apple users - here are some apps that make your #4s iPhone """"s-s-super"""" http://t.co/t74BQyim via @mashable - MS
"
pos,msf,"""""#Microsoft details Search improvements in Windows 8 Start Screen"""" http://t.co/Agv49znJ
"
neu,twt,"Can anyone please explain to us why the #Retweet """"issue"""" is happening to many, but not to others? #twitter #tweeting #tweeps
"
irr,apl,"@Apple Mooi systeem hoor dat films huren, t zou alleen leuker zijn als je ze ook werkelijk kan bekijken!!! #NAAIDOZEN http://t.co/Qg0RYdVX
"
irr,ggl,"Zapatero (#Google): """"Hay que darse prisa en conocer el fenómeno #web, acabará en 3 años"""" http://t.co/L49qrDeR
"
irr,msf,"Equipo altamente #certificado por #Cisco y #Microsoft
"
neu,twt,"RT @extremejohn Stuck on Facebook? I’m so sorry. http://t.co/JcJBfZ8W #Twitter #Google #Facebook
"
neu,ggl,"#Android #Google Samsung and Google introduce GALAXY Nexus http://t.co/KkuepMVW #DhilipSiva
"
irr,msf,"Nueva #Consola #Xbox en curso: #LinkedIn http://t.co/VUzmZEzv #Microsoft #Xbox360 #Xbox720 #Twitter via @ZthaeDigital
"
irr,twt,"@IrinaAlfonzo por eso siempre he dicho! El #FB es para q todos vean lo q haces y chismeen y el #Twitter es mas #informativo
"
irr,twt,"#Adomani #Twitter
"
neu,msf,"RT @sholliman: #SIGSource #Microsoft's Tami Reller says get on the bus and if you don't want to be on the bus, get off the road.
"
neu,apl,"@tvnewschick @apple Oh no! Why not?! I want it to be love-love-love! It's a lot of dough to spend otherwise...
"
irr,ggl,"android beam　って何だろう　 #Android4.0 #Google
"
neu,ggl,"http://t.co/Pl4ZeEvH - Android 4.0 SDK now available #google #android http://t.co/sVlrVxTR
"
neu,apl,"@Mommy_gaga #Win an @Apple iPod Touch @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/qEATNMpI #PampersHelloApps
"
pos,msf,"Microsoft Stores offer up free Windows Phone 7 devices #microsoft #microsoftstores http://t.co/hJ8qlOC9 #neowin
"
irr,ggl,"Muito rapida essa velocidade de captura de imagens da camera do Galaxy Nexus #icecreamsandwich #galaxynexus #google #samsung
"
neu,apl,"@azee1v1 @apple @umber Better file info/easier to get to, duplication of files when importing. Categorizing files.
"
irr,ggl,"サムスン電子のスマートフォン新機種「ギャラクシー・ネクサス」、グーグルの基本ソフト（ＯＳ）「アンドロイド」最新版を搭載。「クラウド」活用、音声認識やカメラの機能も向上させた戦略モデル #keizai #sumaho #google　　http://t.co/h822eCym
"
neg,msf,"@Anas_Monaffal LOL , i do both .. and for sure #Microsoft #DotNet is perfect, simple o ay 7aja ;) .. but sorry I HATE WINDOWS PHONES :P
"
irr,ggl,"@DanyFajardo Listo Dany gracias =) ... #Google+
"
neg,apl,"not happy with @apple right now. the upgrade to my itouch4 took out my itouch and laptop. #help
"
neu,apl,"Twitter buzz for Best Buy: http://t.co/9SesENTu - RT @acappellamedia OH: Sales guy @BestBuy: &quot;I'm not selling or using any @apple p...
"
neu,apl,"iPhone 4 S now RESERVATION only, if you want to buy it in an @apple store tomorrow you have to reserve online after 9pm tonight
"
neu,ggl,"RT @BatzayaB: #Google #Android Ice Cream Sandwich 4.0 (photos) http://t.co/XlJBYgIS
"
pos,twt,"•Take Off Make up • Say A Little More On #twitter • Go to Sleep &lt;3 like my plan?(;
"
pos,apl,"Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...
"
neu,msf,"#Microsoft #Cloud Microsoft launches Virtual Academy in Kenya: Microsoft East and Southern Africa launched ... http://t.co/GllUQiTJ #TCN
"
irr,twt,"Sex Games http://t.co/5qtmLHJn #@JaylaStarr #@JCannonDSD #sex #Twitter #video
"
pos,twt,"RT @ahhfuckitsguss: #twitter can be so useful on letting out your feeling when you cant in the real world .
"
irr,msf,"Estudio: Microsoft vende más http://t.co/1VfC5PH1 #microsoft #tecnologia #tic #IT
"
neu,twt,"Twitter Buzz Builds for the Occupy Wall Street Movement [CHARTS] #twitter #occupywallstreet #teamfollowback #autofollow http://t.co/IRYn5Vis
"
neg,msf,"#Google Apps vs. #Microsoft #Office 365: """"it is clear that Google Apps should be the top choice"""" http://t.co/KDTD4zRe
"
pos,apl,"This good here iPhone will do me VERY well today. Thanks to the gods that are @apple.
"
irr,msf,"#Microsoft ofrece un sistema de #codificación #MicrosoftTag http://t.co/jojh48Lg
"
irr,msf,"#Job #ICT Sachbearbeiter Immobilienbewirtschaftung (m/w): Gfeller Treuhand und Verwaltungs AG, Dübendorf http://t.co/9ZrHM9sa #Microsoft #IT
"
neg,msf,"#Microsoft is currently paying to produce #swpats propaganda to lobby politicians with -- to make racketeering seem """"acceptable""""
"
neu,msf,"Windows 8 on a #Tablet? Can #Microsoft put a bruise on the #ipad? - http://t.co/WGRMnyPi #productivity #office
"
neu,msf,"""""You don't have to be a computer scientist to use a Windows Phone,"""" said #Microsoft 's #SteveBallmer, """"but you do to use an Android phone.""""
"
irr,msf,"RT @WindowsFrance: Avec OmniTouch, faites de n'importe quelle surface un écran tactile http://t.co/kBP15kTt #Microsoft #OmniTouch
"
irr,msf,"Únase el Martes 8 de Noviembre, a las 11:00 am EST al evento de lanzamiento de #Microsoft #Dynamics #AX2012 para latinoamérica
"
irr,twt,"Un generador de partículas subatomicas marca Acme es mas divertido que ver a una mosca dormir... #hedicho #Twitter #Off
"
pos,apl,"Amazing new @Apple iOs 5 feature. http://t.co/jatFVfpM
"
neu,msf,"RT @IanCarnevale: #Microsoft shows 'touch screen' for any surface http://t.co/E84GN9Vq via @cnet
"
neu,twt,"Some people take themselves way too seriously...especially on #Twitter. It's amusing...to say the least. Bless your heart...
"
neu,ggl,"wait.... since when does putting honeycomb and gingerbread together make ice cream sandwich? #google ...
"
neu,twt,"on oovoo with @_LoveIsThe_Ki dumb ass #excuseme #twitter
"
neu,ggl,"#ICS"""" putting people at the heart""""? You have GOT to be joking #Google. Now even copying slogans? Ah I get it, THOSE are not patented ;)
"
pos,apl,"i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone
"
neu,ggl,"Phone app redesigned to be unified with google voice, etc. Has fast forward and rewind capabilities as well. #Google #Android #ICS
"
neu,ggl,"#google #IceCreamSandwich #Samsung #Updates #Android | Galaxy Nexus with Ice Cream Sandwich: pictures http://t.co/DGGsNOh2
"
irr,twt,"#ok #NoEntiendo todo esto del #Twitter pero ya tengo el mío... SIGANME los buenos #FF #Followers
"
neg,apl,"Hey @apple, the SMS full message is complete shit. Yes, I'm annoyed.
"
neu,twt,"My scrolling thumb keeps falling asleep on me.... making me unable to aimlessly browse #twitter..☹wahh oh no #endoftheworld #addicted
"
neu,msf,"@VSLive What is up with #ATT at #Microsoft? Full bars in one building and no service in another only 1000 or so feet away? #vslive
"
pos,apl,"Hell yes!!! Got my contacts back!! Thanks @apple
"
neu,apl,"""""#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/g8Uof7uz #PampersHelloApps""""
"
irr,twt,"Waa ya tienes #twitter @luchiie24 wuahahahaha
"
neg,ggl,"#Samsung, #Google Unveil Phone http://t.co/hOB37hbO
"
irr,twt,"pues esto fue todo por hoy! ;D bye #FB sigo un rato más por #twitter
"
neu,ggl,"How much house can i afford #Google
"
neu,apl,"@apple and @nintendo need to partner up for the app store
"
irr,apl,"sail phoenix next stop----&gt; after quimera rock @apple house
"
irr,twt,"Sigue ah @KhrizJoohn con su nueva cuenta en #Twitter
"
irr,ggl,"Il est dispo sur developer.android.com #google #nexusprime
"
neg,ggl,"is #google honestly bragging about a new font for their #android devices? #seriously
"
irr,apl,"ipad: """"mi aparato favorito de la vida"""" frase celebre de Azay Carrasco @apple #ipad
"
neu,msf,"Seeking a Manager of IT for Immediate Hire in Sterling, VA! Send resumes to julia.snik@rht.com for consideration! #dcjobs #cisco #microsoft
"
neu,apl,"Why didn't @apple provide 5GB per device for cloud backup? Why just 5GB per account? Silly.
"
neu,twt,"@IGoHard_NoBONER Yooooo """"Mena Malia"""" lOl I love your #Twitter name
"
neu,msf,"Are you an digital expert? Or an online amateur? - http://t.co/oizGNXGT #Microsoft
"
neu,msf,"Microsoft Announces Interactive TV For Children’s Games & Story Books #Xbox #Microsoft #family #fb http://t.co/BOCzCmbg
"
neu,msf,"Check out our newly revamped Testimonials page for more information on how #Microsoft #Dynamics #CRM can work for you! http://t.co/hmT51bdf
"
neu,twt,"- It's So Funny Because She Got A #Twitter Now Lol.
"
irr,twt,"#twitter se me hiso vicio
"
neu,msf,"Why do Linux fanatics want to make Windows 8 less secure? http://t.co/OGkaYZO7 #linux #microsoft
"
neg,apl,"but seriously @apple finance me a damn phone you greedy bastards! OR Santa...get your jolly ass in gear and get us a 4S - white plz
"
neg,apl,"Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark.
"
neu,twt,"My #twitter age is 1 year 148 days 1 hour 15 minutes 56 seconds. Find out yours at http://t.co/hcR3FSpD #twittertime
"
neu,twt,"#Twitter is hella funny when got people on here you grew up with....lmao
"
neu,twt,"bye bye #twitter ;)
"
neu,msf,"RT @NeowinFeed: Steve Ballmer slams Android #microsoft #steveballmer http://t.co/GQqyQbaG #neowin
"
neu,ggl,"#SEO Tip:Make sure that your important keywords have high keyword density in your pages #google #bing #yahoo
"
neu,twt,"I OUT #Twitter Till 2mar
"
irr,twt,"Mention #Twitter and get a Pittsburgh HVAC and Electrical systems Checkup for $129 Contact http://t.co/KI7JJulI
"
neu,msf,"Skype and Microsoft Team Up - A match made in heaven? - http://t.co/lsFTp8RL #microsoft #skype # videoconferencing #socialmedia
"
irr,msf,"#game #microsoft #gamer #new experience #halo 2 #microsoft insider #halo 2 hacks #beta test team http://t.co/uk8sW8HZ Halo 2 Hacks
"
irr,twt,"RT @JhonAlexGarciaA: MI NOVIA Y COSTUMBRE DE DEJARME DE SEGUIR EN #TWITTER JAJJAA
"
neg,twt,"#Twitter, will you please fix this RT problem?
"
neu,apl,"RT @DailyDealChat: @bidmyway I like your app for the @apple iPhone very simple and easy to use!
"
irr,ggl,"#Google Newest Texas Holdem Zynga Poker Hack Cheat Update 18 October 2011.flv: Download Hyperlink: ur... http://t.co/oEXPDnoT #wikileaks
"
pos,ggl,"#google #icecreamsandwich totally blowing #Apple iShit away...
"
neu,twt,"@iamRoyaltyFRESH Pls let us know if you need help w/ music marketing promo. We got #Twitter & #Youtube on lock. http://t.co/U0HzoVQF
"
neu,apl,"The iPhone update has segregated my contacts between iPhone users and non-iPhone users. They just had to call out those non-users @apple
"
neu,msf,"Now I that i know god exists, realisation dawns on me that, he hates me #Microsoft #ICPC
"
irr,twt,"RT @Kcyoungboss: RT @nine_oh SIMPLY DA BEST ON #TWITTER MY TWEEPS @Kcyoungboss @JenniferWarters @TONYTECH818 @Kozak2012 @3010lys @TheLeg ...
"
neu,apl,"Too bad I'm not an @Apple junkie. #icloud #apple #ios5
"
irr,msf,"#Microsoft e #Adobe i più danneggiati dalla #pirateria http://t.co/GLCjzqXG #mercato
"
neu,ggl,"#Android #Google Android 4.0 Platform and Updated SDK Tools http://t.co/0jRKtQ2S #DhilipSiva
"
neu,apl,"@Apple buried the ability to manage #newsstand subscriptions under App Store Settings. This is inconvenient at best.
"
neu,msf,"CEO Ballmer's (non)answer on whether Microsoft will build its own Windows Phone #Ballmer #Microsoft #fb http://t.co/9GuMpF8V
"
neu,apl,"@apple should make Siri avalible for all devices not exclusive to the iPhone 4S
"
pos,ggl,"@Tita_Ramos #Google it =)
"
irr,twt,"Saindo #Twitter !
"
pos,ggl,"Android 4.0 FINALLY includes photo editing tools. #Google #Android #ICS
"
neu,twt,"RT @MizzSpicey: Now tuned in to http://t.co/DYMDmU3z with @deejaydenco! #WorldWide #Twitter #Facebook join me!!! #RT
"
pos,apl,"Good support fm Kevin @apple #Bellevue store 4 biz customers TY!
"
neu,twt,"#Oomf dnt start dis sh*t on #twitter
"
neu,apl,"A brick n mortar @Google store? Coming soon to London, US next? Copying @Apple business model? http://t.co/l4VTHsv5
"
neu,apl,"This!!!!!! RT @DennieB_15 👦👧👩👨👶👵👴👱👲👳👷💂👸👮..... Um why No black people❔❔❔@Apple
"
irr,msf,"(High-tech)- Demain sur LNT: """"#Microsoft s'implique dans le développement socioéconomique"""" par @Joumany #twitoma #IT #blogoma
"
neu,ggl,"New Galaxy Nexus: App Improvements - New People App to improve contact information #nexus #samsung #google #android bit.ly/nEJbyE
"
neu,twt,"My #twitter age is 2 years 116 days 14 hours 39 minutes 33 seconds. Find out yours at http://t.co/qXEiQ4lI #twittertime
"
neu,ggl,"#Android #Google Video: Samsung Galaxy Nexus Announcement and Official Promo http://t.co/4ErExB4T #DhilipSiva
"
pos,ggl,"RT @SamsungMobileCA: Raise your hand if you now want an #Android4 #IceCreamSandwich powered #GALAXYNexus phone! #Google #Samsung
"
neu,twt,"I don't see the point of following a news station on #twitter if there's breaking news people are gunna tweet about it anyway #obvs
"
irr,twt,"E o meu #Primo @eduuaardo_ que nunca mais apareceu pelo #Twitter? Saudade de você primãao ♥
"
neu,msf,"#itasum11 - Gadgeteer http://t.co/ecWX3Ajl - The New Way to make inspire and stimulate learning #edugeek #kinext #microsoft
"
irr,ggl,"Virage Success Story - Harvard Business School pdf ebook: http://t.co/JemEYNDb #google
"
neg,msf,"I am quickly falling in love with #Apple #iCloud. Finally a web-based solution to wave my old #Microsoft Outlook bye-bye
"
irr,ggl,"Sistema de fotos panorâmicas na camera do icecream sandwich #icecreamsandwich #galaxynexus #google #samsung
"
neg,apl,"Why doesn't @apple iCloud sync Stickies? They've always been around, just nothing every progressed w/ them!! Why apple why? @gruber
"
neu,twt,"My phone would stay charged if I didnt have #twitter
"
irr,ggl,"RT @twandroid: Nouveau layout pour la Galerie qui est en forme de magazine #google #nexusprime
"
neg,apl,"anyone else stuck in duped calendar/mail/battery sucking @apple hell? #iCloud and #OSX Lion are a disappointment
"
neu,apl,"Waiting patiently for me at the @apple store. @Badog420 http://t.co/NaFaeXuh
"
irr,ggl,"Google помнит о тебе, нищеброд. http://t.co/LtWQVySF #События #4.0 #Android #Google
"
irr,msf,"#SteveBallmer, CEO de #Microsoft, dice que se necesita ser un cientifico para manejar #Android http://t.co/W03j7hTA
"
irr,msf,"Excelente articulo! RT @teresitacc: Interesting read - How #Apple eclipsed #Microsoft http://t.co/RhNU1VaR via @guardian (cc: @elcheicon)
"
neu,twt,"#Twitter Buzz Builds for the Occupy Wall Street Movement [CHARTS] http://t.co/DAr3Ef5T #uncategorized
"
irr,msf,"Fico impressionado como qualquer software #microsoft fode com meu #Mac
"
irr,ggl,"#Mango shows #Microsoft still has the taste for smartphone success #Apple #Google http://t.co/C4fy2ffj
"
pos,ggl,"People App in #ICS looks promising! As usual #Google is good at integrating different apps and make it a total new user experience!
"
pos,ggl,"RT @YashasJoshi: #android 4.0!! Ice Cream Sandwich will now make all other smartphone operating systems look outdated. #Androidbeam Wo ...
"
neg,apl,"Damn you @apple for breaking wififofum! It continued to work in ios 4. Was one of my most used apps. Damn Apple's overbearing policies!
"
neu,msf,"#Microsoft excludes tablets from its holiday advertising #push: Fresh details of Microsoft’s… http://t.co/SXFPd9Xj
"
irr,twt,"@Giovanettinico Ojo que @JorgeHillcoat le esta metiendo con #Twitter .. Lo veo entusiasmado .. Faltaria @JokinImanol nada mas ..
"
neu,ggl,"#Google #Galaxy #Nexus, Miam ! http://t.co/8UpG3BOg
"
neu,twt,"I'm goin 2 bed #TWITTER dead tonight
"
neg,msf,"Reader 'Tronman' compares #SteveBallmer to an albatross around #Microsoft's neck. Do you agree? Join the discussion! http://t.co/DFFkvnSJ
"
pos,apl,"@apple has changed life.
"
neu,msf,"RT @whymicrosoft Are you making the move from #GoogleApps to #Microsoft? &gt;&gt; #Metalogix can migrate you from #GoogleApps to #SharePoint
"
neu,ggl,"#SEO Tip: #javascript can be a friend +an enemy.Use it wisely to block the content u want #google #bing #yahoo
"
pos,ggl,"Can't wait for Ice Cream Sandwich. http://t.co/RtDzjq2U #android #google
"
neu,twt,"RT @BucBoyy: - Ima Addicted To #Twitter.
"
neg,twt,"I'm not getting all of my @ replies #twitter if it wasn't for my emails telling me that some1 replied to me I wouldn't even know it #nobueno
"
irr,twt,"Seremos pelotudos, pero somos una bocha #Twitter
"
irr,twt,"We're hiring! Immediate openings! #socialmedia #facebook #twitter #hiring #job #owner #marketing #networking http://t.co/3LNiJC9U
"
neu,apl,".@Apple has a record quarter and because a bunch of professional guessers (aka analysts) wanted more, its a disappointment #wtf
"
neu,ggl,"#Android #Google Ice Cream Sandwich SDK now available http://t.co/K0tksZ1O #DhilipSiva
"
neu,apl,"Cat accusing tiger for roaring #Samsung on @Apple
"
irr,msf,"#Microsoft lanza sitio oficial de #Skype http://t.co/sd1XqwSp
"
irr,ggl,"L'heure est passé très vite et jme couche avec le sourire moi qui avait pas le moral ^^ #ics #google
"
irr,twt,"ツイッターを利用して感謝の気持ちとともに約２０００円が振り込まれ続ける方法→ｺｺ→ http://t.co/TyjUGsnQ ←ｺｺ← :) #ビジネス #稼ぐ #副業 #Twitter #ツイッター
"
pos,twt,"#Twitter #twitter :)
"
pos,apl,"Mad props to the @apple employee that didn't charge me to replace the back plate on my iPhone! Made my day!
"
irr,ggl,"ايسكريم ساندويش، عسل، زنجبيل .. مشكلة من كثر المسميات احسهم مسوين مقادير مب انظمة !! 😝 #google
"
neu,twt,"@stephaknee7 omfg so #excited you are on #twitter baby now i can send you love #tweets !!
"
neu,ggl,"http://t.co/18xg3ivo! #Google’s Ice Cream Sandwich Official http://t.co/7h5YdQCN #android #icecreamsandwich
"
neu,apl,"@Apple, feel free to accidently ship me a new iPhone 4s #nobigdeal
"
pos,ggl,"When I'm about to tweet something and I cant remember how to spell I go straight to #Google
"
pos,ggl,"#samsung galaxy nexus = orbital laser. #apple iphone 4s = wooden stick #google
"
pos,apl,"Gone for a run, beautiful morning , man do I love iOS 5 @apple, #iPhone
"
pos,ggl,"There you go - according to http://t.co/4Y8aS4zz #Google+ is builtin to the OS/Nexus line? Smart move :)
"
irr,ggl,"#GalaxyNexus es presentado oficialmente. http://t.co/dwUWIYWC | Conoce los detalles del nuevo teléfono de #Google
"
neg,apl,"Apparently @Apple genius training doesn't extend to clocks & service. They're half an hour late for my appointment and couldn't let me know?
"
irr,ggl,"@alanlepo..IBM Connections light years ahead of other vendors in #analytics http://t.co/jg24duIa #socialbiz #Google+
"
irr,msf,"¿Piensas lanzar tu propio emprendimiento? #Microsoft te acerca los mejores recursos tecnológicos. http://t.co/EBswmyUi #SoloPensamosenTI
"
neg,apl,"@apple battery life suck on iOS 5
"
neg,ggl,"is mulling #google+ but hmmm, just aint shore bout nuther social media profile.
"
irr,ggl,"#Google y su distorsión de la ##accesibilidad http://t.co/LE6lzlus #fb #android #chromeos #chromevox
"
pos,apl,"S/O to @apple for replacing my phone for free
"
neu,ggl,"Bitch please your vagina has been used more than #google .
"
neg,apl,"RT @TakeF_Light: Hey @Apple...I know Steve Jobs died & all but my Twitter for iPad app keeps crashing...Fix it...NOW..please..lol -F.Light
"
irr,apl,"@Le_M_Poireau Mais moi je voudrais pas que @apple donne mon fichier @LaLibreBe. Marre d'être spammée par les journaux désespérés.
"
pos,apl,"Thank you Steve @apple store 5th av. http://t.co/nSAisriP
"
neu,msf,"Why Ice Cream Sandwich Might Make Things Worse - '#Google needs to look to #Microsoft as an example' http://t.co/7UXWvH6h via @pcmag
"
neu,ggl,"Check out """" @Legiondachosen1 ft. Big Hit - My Life's A Movie (snippet) - Prod. by @LegiondaChosen1"""" - http://t.co/XjTCc7j7 #Google Me!!
"
pos,apl,"Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT
"
neg,apl,"Wtf @apple 64 pages for the new terms & conditions when u update ur apps from the iTunes store. Do u really think we'll read em? Really???
"
neu,apl,"Thinking more, I want Android to do an iMessage service & for @Google & @Apple to interconnect. They would if the cared about their users.
"
irr,apl,"Hey @apple , je sais que tu es encore un peu remué, mais tu pourrais ajouter le verbe avoir à ton dictionnaire ?
"
neg,apl,"@apple iPhone 4S robo-brain Siri doesn’t play well outside the U.S. http://t.co/LYppovGb
"
neu,apl,"New Blog! http://t.co/ENCSF1Ju @VerizonWireless @Motorola @Google @Apple #Android #DroidBionic #iPhone4S #4GLTE
"
irr,twt,"#Twitter, #Facebook, #Google+ ,YouTube, #Msn ,#Gmail #OFF A dormir se ha dicho =)
"
neu,msf,"Streaming News 24/7 at http://t.co/qAXtqpdN - Ballmer feels lucky #Microsoft didn't buy #Yahoo in 2008 http://t.co/OUsKwj8a
"
neg,apl,"“@carlton858: I really hate dealing with the brain dead people at the @apple store. For such good products, customer service sucks.” in NZ?
"
pos,ggl,"Thoughts on Android 4.0 #ICS? Excited to play with the new features. #android #google
"
irr,apl,"あぽたん(´・ω・`) RT @yuntaro0304: [23:04:35] 橘　龍希＠apple: 可愛いよ(*･ω･*)　あぽたんにくどかれてるなう
"
neu,ggl,"Android 4.0 Ice Cream Sandwich announcement round-up #android #google http://t.co/ExcNswwx
"
irr,twt,"Buenas Noches Followers :3 #twitter-off
"
neu,apl,"@apple karaoke ceel w/ @nandamaulida @putriasmara @galuhoktriana @milatus :p
"
irr,apl,"Quiero migrar @Apple!
"
irr,apl,"interesante por decirlo menos sabes que la cámara del #iphone4s le pertenece a #sony ... mmm ojalá ande bien y no sea mala jugada de @apple
"
